substation,x,y
Nea Santa (GR),22.9204109,40.842266
Plovdiv (BG),24.7701,42.113
Maritsa East 3 (BG),25.626389,42.054167
Burgas (BG),27.3568,42.6172
Pancevo (RS),20.69898,44.86874
Arad (RO),21.378165,46.183637
Bericevo (SI),14.61367,46.09291
Exeter (GB),-3.40476,50.76767
Bicker Fen (GB),-0.22122,52.93094
Neris (LT),25.42387,54.85654
Paide (EE),25.53025,58.87708
Valmiera (LV),25.46083,57.52692
Zarnowiec (PL),18.08385,54.72205
Kruonis Pumped Storage Hydroelectric Plant (LT),24.25141,54.80139
Bitenai (LT),21.2635,56.02125
Zydowo Kierzkowo (PL),16.73029,54.04156
Morzyczyn (PL),14.89634,53.35475
Gdansk Blonia,18.70926,54.3387
Mandarins (FR),1.78459,50.90328
Bonaduz (CH),9.378935,46.811369
Guestrow (DE),12.18694,53.81613
Zaya (AT),16.800059,48.606213
Peterhead (GB),-1.799354,57.473648
Ganderkesee (DE),8.56404,53.032138
Dörpen West (DE),7.365308,52.980403
Würmlach (AT),13.070954,46.649179
Dahlem (DE),6.531683,50.390044
Pljevlja 2 (ME),19.327191,43.336775
Visegrad (BA),19.281624,43.792139
Eichstetten (DE),7.753492,48.099406
Plewiska (PL),16.779206,52.368977
Polkowice (PL),16.066667,51.5
Eisenhuettenstadt (DE),14.604906,52.174404
Swiebodzice (PL),16.35588,50.853199
Tiengen (DE),8.259144,47.634434
Großgartach (DE),9.151893,49.143737
Grafenrheinfeld (DE),10.160176,49.989368
Tuovila (FI),21.851657,63.052977
Tuzla (BA),18.606297,44.48142
Razbojiste (HR),18.247241,45.441856
Sombor (RS),19.166706,45.767602
Uchtelfangen (DE),6.996383,49.375413
Diele (DE),7.311467,53.125957
Barnabos (FR),1.012681,49.657827
Mese (IT),9.377152,46.305235
Courcelles (BE),4.347592,50.494687
Philippsburg (DE),8.438855,49.251884
Oradea (RO),21.947653,47.021773
Border area DE,9.823886,47.578679
Bürs (AT),9.810812,47.142892
La Punt (CH),9.925693,46.579296
Mühleberg (CH),7.281545,46.97259
Ulrichen (CH),8.3,46.5
Lavorgo (CH),8.837695,46.441361
Marsillon (FR),-0.595506,43.38597
Saucats,-0.613885,44.614297
Warande (FR),2.160477,50.949219
Pembroke (UK),-4.990253,51.682371
Langage (UK),-4.017783,50.385351
 Lucciana (FR),9.450138,42.528592
Suvereto (IT),10.694144,43.053751
Fedderwarden (DE),8.063391,53.55594
Tauern (AT),12.739781,47.277614
Pince (SI),16.523254,46.525583
Austrian National border (AT),9.782586,47.588408
Zaule (IT),13.818485,45.617894
Vrtojba (SI),13.645423,45.915409
Podlog (SI),15.129407,46.276273
Steinach (AT),11.473796,47.083211
Fano (IT),12.955882,43.787657
Sicily region (IT),13.359056,38.073554
Campania region (IT),14.77129,40.692241
[TBD] Center (BE),4.347592,50.494687
Djerdap (RS),22.524135,44.665288
Belgrade West (RS),20.383966,44.823164
Melina (HR),14.564284,45.316331
Konjsko (HR),16.501166,43.600474
Dodewaard (NL),5.664081,51.927166
Elbasan (AL),20.062498,41.089862
Veneto region (IT),11.85,45.73333
Guenes (ES),-3.030885,43.21895
Ichaso (ES),-2.273571,43.061227
Azpeitia (ES),-2.252577,43.212705
Uentrop (DE),7.992661,51.683873
Polsum (DE),7.022983,51.625878
Hunterston 400kV (TBC),-4.890796,55.720177
Muša (LT),23.615258,56.241326
Stade (DE),9.529121,53.619107
Mecklar (DE),9.745707,50.917641
Huutokoski (FI),27.6667324,62.2125826
Hikiä (FI),24.919344,60.74862
Zeebrugge (BE),3.206439,51.331353
Revsing (DK),9.165048,55.504459
Zell-Ziller (AT),11.89784,47.233461
Baden-Württemberg area (DE),9.151893,49.143737
Altomonte (IT),16.215355,39.711532
Benevento Nord (IT),14.766635,41.155804
Grobina (LV),21.201263,56.542019
SS Sándorfalva (HU),20.128048,46.306512
SS Sremska Mitrovica 2 (RS),19.612854,45.015872
Chervena Mogila (BG),23.004329,42.528856
