,tyndp_status,length,commissioning_year,underground,v_nom,tags,bus0,bus1,geometry
133,under_consideration,91.0,2033,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/241"", ""tyndp2020_proj_id""=>""241""",3318,2110,"LINESTRING (18.420959 45.289022, 18.538055 44.455349)"
134,under_consideration,46.2,2033,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/241"", ""tyndp2020_proj_id""=>""241""",3318,2106,"LINESTRING (18.420959 45.289022, 18.436344 44.904884)"
136,under_consideration,25.0,2033,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/241"", ""tyndp2020_proj_id""=>""241""",3318,3318,"LINESTRING (18.420959 45.289022, 18.420959 45.289022)"
137,under_consideration,47.8,2032,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/241"", ""tyndp2020_proj_id""=>""241""",2106,2110,"LINESTRING (18.436344 44.904884, 18.538055 44.455349)"
139,under_consideration,70.0,2035,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/243"", ""tyndp2020_proj_id""=>""243""",3319,3321,"LINESTRING (18.663025 45.454351, 19.175262 45.75411)"
140,planned_not_yet_permitting,65.0,2028,False,,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/244"", ""tyndp2020_proj_id""=>""244""",4823,4842,"LINESTRING (6.25122100000001 49.182601, 7.028503 49.340336)"
141,under_construction,27.0,2021,False,380.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/245"", ""tyndp2020_proj_id""=>""245""",5766,5784,"LINESTRING (6.936493 53.145947, 7.389679 53.097323)"
143,in_permitting,14.0,2024,True,220.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/250"", ""tyndp2020_proj_id""=>""250""",3860,3855,"LINESTRING (9.503174 46.35925, 9.34661899999999 46.251099)"
144,planned_not_yet_permitting,90.0,2029,False,,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/252"", ""tyndp2020_proj_id""=>""252""",4686,5165,"LINESTRING (5.71701000000001 51.094036, 5.35583499999999 50.557942)"
145,in_permitting,90.0,2024,False,,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/252"", ""tyndp2020_proj_id""=>""252""",5099,4686,"LINESTRING (4.603271 51.209464, 5.71701000000001 51.094036)"
146,planned_not_yet_permitting,60.0,2033,False,,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/252"", ""tyndp2020_proj_id""=>""252""",5165,5153,"LINESTRING (5.35583499999999 50.557942, 4.35470599999999 50.529143)"
147,planned_not_yet_permitting,47.0,2035,False,,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/252"", ""tyndp2020_proj_id""=>""252""",5102,5153,"LINESTRING (4.22012299999999 50.864911, 4.35470599999999 50.529143)"
148,planned_not_yet_permitting,16.0,2025,False,,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/252"", ""tyndp2020_proj_id""=>""252""",5085,5102,"LINESTRING (4.177551 51.162122, 4.22012299999999 50.864911)"
149,planned_not_yet_permitting,36.0,2030,False,,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/252"", ""tyndp2020_proj_id""=>""252""",5085,5099,"LINESTRING (4.177551 51.162122, 4.603271 51.209464)"
152,under_construction,125.0,2022,False,380.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/258"", ""tyndp2020_proj_id""=>""258""",5855,5808,"LINESTRING (9.24087500000001 53.906765, 8.86459400000001 55.074436)"
153,under_consideration,120.0,2030,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/259"", ""tyndp2020_proj_id""=>""259""",3343,3345,"LINESTRING (21.566162 47.659838, 22.026215 47.044861)"
156,under_consideration,1.0,2035,False,380.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/263"", ""tyndp2020_proj_id""=>""263""",8870,3626,"LINESTRING (9.556022 47.302744, 8.298798 47.148634)"
157,under_consideration,1.0,2035,False,380.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/263"", ""tyndp2020_proj_id""=>""263""",8870,3843,"LINESTRING (9.556022 47.302744, 9.253235 46.824496)"
158,under_consideration,,2035,False,380.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/263"", ""tyndp2020_proj_id""=>""263""",8870,8175,"LINESTRING (9.556022 47.302744, 9.80228979023356 47.6377345779987)"
159,under_consideration,,2035,False,380.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/263"", ""tyndp2020_proj_id""=>""263""",8870,3791,"LINESTRING (9.556022 47.302744, 9.790192 47.138359)"
160,in_permitting,64.0,2029,False,380.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/264"", ""tyndp2020_proj_id""=>""264""",3603,3626,"LINESTRING (8.16970799999999 47.523693, 8.298798 47.148634)"
162,in_permitting,45.4,2027,False,380.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/264"", ""tyndp2020_proj_id""=>""264""",3586,3697,"LINESTRING (7.19192499999999 47.364874, 7.22213700000001 47.007416)"
