,investment_id,commissioning_year,status,asset_type,substation_1,substation_2,ac_dc,specified_length_km,country_1,country_2,s1,x1,y1,s2,x2,y2,coord_dist
200,179.0,2019,4,line,Rommerskirchen,Weißenthurm,AC,94.0,DE,DE,Rommerskirchen,6.679688,50.995607,Weißenthurm,7.38143899999999,50.376124,103.47758219042858
201,188.0,2021,3,line,Kruckel,Dauersberg,AC,110.0,DE,DE,Kruckelhoek,51.4602,7.41503,Dauersberger Straße,50.7531,7.8342,83.96417170564962
210,273.0,2020,3,line,Cernavoda,Stalpu,AC,159.0,RO,RO,Strada Cernavodă,44.3735,27.8381,Stâlpu,44.2682,25.8517,158.8879536444717
211,275.0,2020,3,line,Smardan,Gutinas,AC,140.0,RO,RO,Smârdan,27.913513,45.611156,Gutinaş,26.872559,46.264392,132.20950859949778
212,276.0,2023,3,line,Gadalin,Suceava,AC,260.0,RO,RO,Gădălin,46.8402,23.8485,Poieni-Suceava,47.5744,26.4627,214.2017275143202
224,238.0,2017,4,line,Resita,Pancevo,AC,131.0,RO,RS,Reşiţa,22.004242,45.309666,Pancevo,20.725708,45.02695,144.56633973076177
225,269.0,2018,4,line,Portile de Fier,Resita,AC,116.0,RO,RO,Porţile de Fier 1,22.597504,44.760386,Reşiţa,22.004242,45.309666,86.71339261291415
226,270.0,2023,3,line,Resita,Arad,AC,175.0,RO,RO,Reşiţa,22.004242,45.309666,Arad,21.41098,46.176978,111.21514493037367
230,625.0,2016,4,line,Lastva,Pljevlja,AC,160.0,ME,ME,Donja Lastva,42.443,18.6886,Pljevlja,43.3567,19.3584,115.30549997169499
231,1075.0,2019,4,line,Kragujevac,Kraljevo,AC,55.0,,,Kragujevac,20.967407,44.034295,Kraljevo,20.622711,43.687736,52.51875776365937
237,244.0,2017,4,line,Filippi,Lagadas,AC,110.0,GR,GR,Filippi,24.292145,40.976788,Lagadas,23.186646,40.718119,125.24692739478371
257,149.0,2023,3,line,Dollern,Stade,AC,14.0,DE,DE,Dollern,9.516907,53.415262,Stade,9.34936500000001,53.568861,25.058933889287264
258,157.0,2021,3,line,Wahle,Mecklar,AC,210.0,DE,DE,Wahle,10.453491,52.258071,Mecklar,9.621277,50.85971,178.80958367404065
259,677.0,2023,3,line,Dollern,Landesbergen,AC,130.0,DE,DE,Dollerner Straße,53.5443,9.6008,Landesbergen,52.561,9.12381,114.00666135116253
361,985.0,2019,3,line,Rommelsbach,Herbertingen,AC,62.0,DE,DE,Rommelsbach,48.5315,9.2043,Rathaus Herbertingen,48.0593,9.43603,55.250220722522386
374,538.0,2018,3,line,Morella,La Plana,AC,78.0,ES,ES,Morella,-0.32684299999999,40.555548,La Plana,-0.225219999999991,40.125341,49.190517414561846
375,1069.0,2017,3,line,Mezquita,Morella,AC,68.0,,,Mezquita,-0.709990999999996,40.726446,Morella,-0.32684299999999,40.555548,46.44136009018814
381,193.0,2016,4,line,Vieselbach,Redwitz,AC,92.0,DE,DE,Vieselbach,11.45462,50.981776,Redwitz,11.179962,50.21558,88.99157687123494
384,687.0,2023,3,line,Redwitz,Schwandorf,AC,185.0,DE,DE,Redwitz,11.179962,50.21558,Schwandorf,12.031403,49.350177,133.33509043744317
390,939.0,2021,3,line,Conneforde,Emden/Ost,AC,60.0,,,Conneforde,8.12164300000001,53.300518,Emden,7.25646999999999,53.374317,96.02886922773651
393,150.0,2020,3,line,Conneforde,Fedderwarden,AC,35.0,DE,DE,Flugplatz Wiefelstede-Conneforde,53.3218,8.07306,Klein Fedderwarden,53.5885,8.36251,35.3659109718941
394,151.0,2021,3,line,Wehrendorf,Ganderkesee,AC,95.0,DE,DE,Wehrendorf,8.28506499999999,52.34373,Ganderkesee,8.46633900000001,52.94781,69.48832757904773
395,156.0,2019,3,line,Niederrhein,Dörpen/West,AC,162.0,DE,DE,Niederrhein,6.61651600000001,51.629952,Dörpen/West,7.16171299999999,52.847571,147.46164025248095
441,608.0,2019,3,line,Horta,Mercator,AC,50.0,BE,BE,Horta,3.574677,51.015483,Mercator,4.17892499999999,51.161261,68.75105025247603
449,200.0,2020,3,line,Güstrow,Wolmirstedt,AC,195.0,DE,DE,Güstrow,12.205811,53.759266,Wolmirstedt,11.745758,52.227799,174.3862389309419
474,147.0,2018,4,line,Dollern,Hamburg/Nord,AC,43.0,DE,DE,Dollern,9.516907,53.415262,Hamburg-Nord,9.94811999999999,53.812004,64.57521010971233
475,148.0,2018,4,line,Audorf,Hamburg/Nord,AC,65.0,DE,DE,Audorf,9.759979,54.305307,Hamburg-Nord,9.94811999999999,53.812004,57.9729683566626
483,660.0,2021,3,line,Osterath,Philippsburg,DC,340.0,DE,DE,Osterath,6.58630399999999,51.245584,Philippsburg,8.411407,49.20414,302.5001986837933
492,667.0,2018,3,line,Brunsbüttel,Niebüll,AC,135.0,DE,,Brunsbüttel,52.3888,10.6145,Niebüllweg,53.5379,10.1461,131.69369018506714
